Country,Continent,Latitude,Longitude
France,Europe,46.2276,2.2137
Australia,Australia,-25.274398,133.775136
Brazil,South America,-15.793889,-47.882778
Thailand,Asia,13.736717,100.523186
Chad,Africa,15.454166,18.732207
USA,North America,39.113014,-105.358887
